N,EQ,IT,KOTAKMAMC - KOTAKIT,        36.83,        36.98,        37.39,        36.76,        36.96,                  4762082.58,128945,691,        41.05,        27.45,NIFTY IT
N,EQ,ITBEES,NIP IND ETF IT,        36.89,        37.30,        37.38,        36.69,        37.05,                293996209.55,7905004,18752,        41.56,        27.56,NIFTYIT
N,EQ,ITETF,MIRAEAMC - ITETF,        35.20,        35.49,        35.95,        35.00,        35.41,                  3226540.18,91111,734,        40.00,        30.40,NIFTY IT TOTAL RETURN INDEX
N,EQ,ITETFADD,DSPAMC - DSPITETF,        35.93,        35.99,        36.46,        35.24,        35.48,                  6827500.72,191995,1518,        39.40,        29.00,NIFTY IT INDEX
N,EQ,ITIETF,ICICIPRAMC - ICICITECH,        36.83,        36.84,        37.31,        36.50,        37.05,                113185966.32,3042809,3291,        41.35,        27.25,NIFTY IT INDEX
N,EQ,IVZINGOLD,INVESCO INDIA GOLD ETF,      5884.05,      5922.40,      5931.00,      5903.80,      5929.95,                  1956272.50,330,43,      5960.00,      5005.00,GOLD
N,EQ,IVZINNIFTY,INVESCO INDIA NIFTY ETF,      2457.00,      2476.22,      2497.76,      2476.22,      2478.01,                    42332.82,17,9,      2848.00,      1887.50,NIFTY
N,EQ,JUNIORBEES,NIP IND ETF JUNIOR BEES,       637.15,       656.25,       656.25,       630.05,       643.81,                118642849.49,184687,7265,       662.15,       390.25,NIFTY NEXT 50
N,EQ,KOTAKGOLD,KOTAK GOLD ETF,        56.56,        56.56,        57.01,        56.55,        56.92,                  9233317.16,162387,1124,        57.20,        48.00,GOLD
N,EQ,KOTAKSILVE,KOTAKMAMC - KOTAKSILVE,        73.27,        73.30,        73.60,        73.21,        73.30,                  1041030.76,14209,70,        79.00,        67.39,SILVER
N,EQ,LICMFGOLD,LIC MF - LIC GOLD ETF,      6065.70,      6141.00,      6141.00,      6042.20,      6102.65,                   560410.30,92,32,      6141.00,      5111.00,GOLD
N,EQ,LICNETFGSC,LICNAMC - LICNMFET,        25.01,        25.01,        25.85,        24.95,        25.08,                   569142.72,22567,175,        27.97,        22.56,GSEC 10 NSE INDEX
N,EQ,LICNETFN50,LICNAMC - LICNFENGP,       240.02,       241.77,       243.79,       240.59,       241.23,                  5203093.53,21574,37,       292.00,       182.21,NIFTY 50
N,EQ,LICNETFSEN,LICNAMC - LICNFESGP,       806.98,       823.12,       823.12,       795.88,       807.50,                   198648.82,247,34,       844.00,       625.37,SENSEX
N,EQ,LICNFNHGP,LICNAMC - LICNFNHGP,       242.55,       243.00,       245.00,       237.70,       243.81,                   292445.22,1210,35,       253.72,       178.01,LIC MF EXCHANGE TRADED FUND- NIFTY 100
N,EQ,LICNMID100,LICNAMC - LICNMID100,        48.19,        48.40,        48.75,        47.30,        48.30,                 19588506.22,404445,115,        51.38,        44.10,NIFTY MIDCAP 100 TOTAL RETURN INDEX
N,EQ,LIQUID,MIRAEAMC - LIQUID,       999.99,       999.99,      1000.00,       999.99,       999.99,                 86212750.74,86213,143,      1000.84,       998.00,NIFTY 1D RATE INDEX
N,EQ,LIQUID1,KOTAKMAMC - KOTAKLIQ,      1000.00,       999.99,      1000.00,       999.99,       999.99,                 38121995.58,38122,19,      1004.00,       999.01,NIFTY 1D RATE INDEX
N,EQ,LIQUIDBEES,NIP IND ETF LIQUID BEES,       999.99,      1000.00,      1002.99,       999.99,      1000.00,               3596188975.40,3596176,15385,      1030.00,       970.00,CALL MONEY SHORT TERM G-SECS & MONEY MARKET INSTR
N,EQ,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE,       101.32,       101.42,       101.42,       101.40,       101.41,                232298915.14,2290521,1898,       105.38,       100.21,NIFTY 1D RATE INDEX
N,EQ,LIQUIDETF,DSP LIQUID ETF,       999.99,       999.00,      1000.01,       999.00,       999.99,                814197585.16,814198,670,      1045.00,       991.25,NIFTY1D RATE INDEX
N,EQ,LIQUIDIETF,ICICIPRAMC - ICICILIQ,       999.99,      1000.00,      1000.01,       999.99,       999.99,               1315346418.11,1315347,799,      1099.00,       970.00,S&P BSE LIQUID RATE INDEX
N,EQ,LIQUIDSBI,SBIAMC - LIQUIDSBI,      1000.00,      1000.01,      1000.01,       999.99,      1000.00,                 22069100.89,22069,214,      1000.01,       995.00,NIFTY 1D RATE INDEX
N,EQ,LOWVOL,MIRAEAMC - MANV30F,       180.26,       182.69,       183.07,       179.98,       181.66,                  1660250.92,9079,22,       189.30,       120.00,NIFTY 100 LOW VOLATILITY 30 TOTAL RETURN INDEX
N,EQ,LOWVOL1,KOTAKMAMC - KOTAKLOVOL,        18.42,        18.42,        18.79,        18.13,        18.68,                  1929569.98,103999,185,        21.00,        12.65,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,LOWVOLIETF,ICICI PR NIF LW VL 30 ETF,        19.52,        20.09,        20.09,        19.41,        19.68,                 54247661.33,2746636,1090,       202.70,        18.90,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,LTGILTBEES,NIP IND ETF LONGTERM GILT,        25.45,        25.80,        25.80,        25.43,        25.54,                 31964350.75,1252874,716,        26.20,        22.90,NIFTY GS 8 13YR
N,EQ,MAFANG,MIRAEAMC - MAFANG,        86.21,        86.21,        88.72,        86.21,        87.56,                 69636320.42,796867,8627,        88.72,        47.05,TOTAL RETURN INDEX
N,EQ,MAHKTECH,MIRAEAMC - MAHKTECH,        12.07,        12.28,        12.34,        12.11,        12.24,                 32064528.81,2621678,2225,        16.38,        11.65,HANG SENG TECH TOTAL RETURN INDEX
N,EQ,MAKEINDIA,MIRAEAMC - MAMFGETF,       122.57,       126.25,       126.25,       122.36,       123.92,                  3820611.49,30903,407,       126.45,        67.32,NIFTY INDIA MANUFACTURING TOTAL RETURN INDEX
N,EQ,MASPTOP50,MIRAEAMC - MASPTOP50,        40.08,        40.11,        40.50,        39.88,        40.21,                  5514509.97,137566,1187,        40.50,        27.35,S&P 500 TOP 50 TOTAL RETURN INDEX
N,EQ,MID150BEES,NIP IND ETF MIDCAP 150,       181.88,       184.12,       184.12,       181.40,       182.06,                 69803283.73,382871,4651,       192.20,       112.00,NIFTY MIDCAP 150
N,EQ,MIDCAP,KOTAKMAMC - KOTAKMID50,       136.90,       138.44,       138.44,       134.94,       136.03,                  5174000.97,37832,609,       146.92,        82.70,NIFTY MIDCAP 50 INDEX
N,EQ,MIDCAPETF,MIRAEAMC - MAM150ETF,        17.88,        18.40,        18.40,        17.86,        17.95,                 13552874.85,755565,2469,        18.85,        10.75,NIFTY MIDCAP 150 TOTAL RETURN INDEX
N,EQ,MIDCAPIETF,ICICIPRAMC - ICICIM150,       181.41,       181.42,       183.60,       180.50,       182.38,                 38096567.90,208898,557,       187.98,       112.27,NIFTY MIDCAP 150
N,EQ,MIDQ50ADD,DSPAMC - DSPQ50ETF,       205.90,       206.51,       207.15,       201.55,       206.71,                  1047210.45,5082,159,       219.70,       151.15,NIFTY MIDCAP 150 QUALITY 50 INDEX
N,EQ,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,       148.24,       148.52,       151.19,       148.11,       149.16,                  4758788.91,32021,190,       155.70,        89.50,S&P BSE MIDCAP SELECT INDEX
N,EQ,MNC,KOTAKMAMC - KOTAKMNC,        25.68,        25.68,        26.30,        25.30,        26.15,                   462415.09,17837,121,        26.45,        18.72,NIFTY MNC INDEX
N,EQ,MOGSEC,MOTILALAMC - G5,        54.80,        54.83,        55.03,        54.76,        54.99,                   764530.11,13901,67,        56.45,        51.04,NIFTY 5 YR BENCHMARK G - SEC INDEX TRI
N,EQ,MOHEALTH,MOTILALAMC - MOHEALTH,        34.62,        34.89,        35.59,        34.51,        35.01,                  1538429.33,43777,328,        38.97,        21.22,S&P BSE HEALTHCARE TOTAL RETURN INDEX
N,EQ,MOLOWVOL,MOTILALAMC - MOLOWVOL,        34.77,        34.77,        35.90,        34.66,        35.03,                  8799979.72,249730,233,        35.98,        23.35,S&P BSE LOW VOLATILITY TOTAL RETURN INDEX
N,EQ,MOM100,MOTILAL OS MIDCAP100 ETF,        50.84,        51.99,        51.99,        50.11,        51.21,                 15156436.37,295747,1922,        54.00,        30.89,NIFTY MIDCAP 100
N,EQ,MOM30IETF,ICICIPRAMC - ICICIMOM30,        30.97,        30.97,        32.96,        30.93,        31.81,                 24061796.62,766933,1387,        32.96,        17.87,NIFTY200 MOMENTUM 30 INDEX
N,EQ,MOM50,MOTILAL OSWAL M50 ETF,       225.02,       224.02,       229.50,       223.01,       228.04,                  1515155.63,6699,127,       241.99,       169.45,NIFTY 50
N,EQ,MOMENTUM,BIRLASLAMC - MOMENTUM,        30.70,        30.97,        31.10,        30.67,        31.05,                   832888.69,26956,339,        32.61,        17.33,NIFTY 200 MOMENTUM 30
N,EQ,MOMOMENTUM,MOTILALAMC - MOMOMENTUM,        61.65,        61.70,        63.44,        61.03,        62.45,                 11597498.55,186320,556,        65.45,        35.55,NIFTY 200 MOMENTUM 30 TOTAL RETURN INDEX
N,EQ,MON100,MOTILAL OS NASDAQ100 ETF,       149.49,       149.16,       150.15,       148.60,       149.38,                 76267837.12,509386,10510,       150.80,       100.55,NASDAQ100
N,EQ,MONIFTY500,MOTILALAMC - MONIFTY500,        20.15,        20.15,        20.34,        20.01,        20.25,                  2061479.95,101890,551,        24.08,        16.30,NIFTY 500
